athlete_id,evaluation_scheme,estimator,feature_set,evaluated_row_count,interpretability_bucket,track_a_mae_kg,track_b_mae_kg,paired_mae_delta_kg,direction
efa2dbe6-24c0-4500-8b7b-1d5d14e1d271,chronological_holdout,sklearn_random_forest,prior_history_only,1,anecdotal_too_few_rows,1.6625000000000014,0.3609191231703477,-1.3015808768296537,improved
f2b08928-a410-4d1d-9f19-1f8c063a6311,chronological_holdout,sklearn_random_forest,prior_history_only,1,anecdotal_too_few_rows,0.03333333333333144,0.13382723678205366,0.10049390344872222,worse
fd0c9e61-cb99-4d60-ab37-b4b3f5ac60d2,chronological_holdout,sklearn_random_forest,prior_history_only,3,minimally_interpretable,1.06388888888889,1.1247385905274119,0.06084970163852188,worse
2068e7ec-51a8-441a-8053-2be7533e613f,chronological_holdout,sklearn_random_forest,prior_history_plus_actigraphy,2,anecdotal_too_few_rows,0.7009090909090858,0.49820619127603294,-0.20270289963305288,improved
687552ea-5963-45df-8680-c4c6058eab87,chronological_holdout,sklearn_random_forest,prior_history_plus_actigraphy,3,minimally_interpretable,2.8032407407407454,6.227735291342637,3.424494550601892,worse
6a2ca03c-e61b-4589-a931-58f5e25aacd8,chronological_holdout,sklearn_random_forest,prior_history_plus_actigraphy,1,anecdotal_too_few_rows,0.3999999999999986,0.37780748849103674,-0.022192511508961843,improved
86fed448-f51d-4005-aef8-bd9413933cbe,chronological_holdout,sklearn_random_forest,prior_history_plus_actigraphy,3,minimally_interpretable,1.5150925925925922,1.584506453851418,0.06941386125882576,worse
8d47422f-2512-44a3-a6d6-8feb726f4759,chronological_holdout,sklearn_random_forest,prior_history_plus_actigraphy,2,anecdotal_too_few_rows,0.6928571428571466,0.8564205297239802,0.16356338686683358,worse
957de0b1-7ee9-437c-b47b-dffd09b6653a,chronological_holdout,sklearn_random_forest,prior_history_plus_actigraphy,3,minimally_interpretable,1.1972727272727302,1.2888525229400258,0.09157979566729568,worse
9cee6de4-93b3-46a7-a018-90f60d705ebb,chronological_holdout,sklearn_random_forest,prior_history_plus_actigraphy,2,anecdotal_too_few_rows,1.4723214285714228,2.8722036239087814,1.3998821953373586,worse
a2d89dcf-6bd1-445b-bc9c-7ac6b852a9fc,chronological_holdout,sklearn_random_forest,prior_history_plus_actigraphy,2,anecdotal_too_few_rows,0.12053571428571175,0.04108539793539201,-0.07945031635031974,improved
c887cb7e-63cf-4dc2-9fd2-8429137ba44b,chronological_holdout,sklearn_random_forest,prior_history_plus_actigraphy,3,minimally_interpretable,1.9047619047619027,3.026301928419482,1.1215400236575792,worse
e362b878-9920-4dcf-9ab7-687a194a821c,chronological_holdout,sklearn_random_forest,prior_history_plus_actigraphy,3,minimally_interpretable,2.015854978354979,1.4670209404383823,-0.5488340379165966,improved
e6e4e3b9-5cfa-42c6-a4cd-0f96561de3eb,chronological_holdout,sklearn_random_forest,prior_history_plus_actigraphy,2,anecdotal_too_few_rows,3.081249999999999,2.830169161754048,-0.25108083824595084,improved
ec3fc0a0-ab15-4c0c-b1ad-5243c6e5636f,chronological_holdout,sklearn_random_forest,prior_history_plus_actigraphy,2,anecdotal_too_few_rows,1.1499999999999968,1.2044037642182381,0.054403764218241335,worse
